year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Access to green space,Difficulty making ends meet,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LS score less than 5,LSS,LS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships score less than 5,Satisfaction with personal relationships,Satisfaction with time use score less than 5,Satisfaction with time use,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,Top LS scores quintile,Top personal relationship satisfaction scores quintile,Top satisfaction with time use quintile,VT,hco,SADdeaths
2004,,42994.0,,,,,,9.5,,,73.84723689,,6.957106343,,20.01515104,79.26766759,6.5,26565.0,,,,2.4,,79.0,2.277683547,,,,,2.074063524,,,,10.739392,,,69.1,9.8,7.184276894,,,,,,,,,,,,,3.8,,,2.41599638,,,,,,,,,,,,53.52634811
2005,,43899.0,,,,,,8.5,1.708,,74.57805907,,6.913401313,,18.94169403,79.11311809,6.6,26867.0,36.0883,,,1.9,20.33575058,79.1,4.573606479,,,,,2.100997056,,,,9.275012,,,68.5,10.1,7.237505325,,,,,,,,,,,,,3.8,,,2.486685302,,,,,,,,,,,,54.11258698
2006,,44808.0,,,,,,8.0,,,75.43859649,78.5094518,7.481361909,,19.37479454,79.02540536,6.9,27317.0,52.8619,,,2.0,,79.5,4.511278195,,,3.511539191,,1.915075507,,,8.222511201,8.6027355,17.86218555,,68.7,9.9,6.393204936,548.3583951,546.8682813,563.3228345,95.58037436,,,,,,,,,3.8,,,2.469989104,,,,,,,,,,,,55.99178314
2007,,45406.0,,,,,,7.599999905,,,76.00559636,,7.909496459,,21.37690409,79.30576942,7.8,28081.0,62.8782,,,2.2,,79.6,3.974121996,2.279603958,,,,1.587759262,,,,8.4918222,,,68.3,8.3,7.201122617,,,,,,,,,,,,,3.9,,,2.55283535,,,,,,,,,,65.02,,57.92116928
2008,,45795.0,,,,,,8.100000381,,,76.93643626,75.2805497,8.473158376,,21.23395266,79.47797415,7.9,28595.0,66.1444,,,2.2,,79.9,3.875968992,2.315803051,,4.824801886,,1.160235809,,,6.283179407,8.5498466,19.12340938,,68.6,7.8,6.489973368,,,,94.32831328,,,,,,,,,3.9,,,2.566107758,,,,,,,,,,,,57.54206085
2009,,46190.0,,,,,,6.800000191,,,75.19916869,,8.482119494,36.62926102,19.67567279,79.42431502,7.4,28690.0,73.7382,,,1.9,,80.1,3.66009363,3.007472038,,,,1.384685612,10.0221,120402.0,,10.065873,,,68.9,7.4,5.238144052,540.5043482,535.8779845,554.0795098,,,,,,,,,,3.7,,,2.59216894,,15.171413,,6.1545219,,43.719231,,,,,,56.57879639
2010,2.916113101,46829.0,,,,,,6.900000095,0.902,,74.62016575,78.18940222,8.12301878,,18.87699985,78.95230401,7.2,29251.0,75.8024,8.548105508,,1.9,19.45171356,80.2,3.887862859,2.888392925,,6.439510122,,2.00995265,,,8.589398063,10.403963,16.9778728,,68.3,7.2,5.082756431,,,,93.36906473,,,,,,,,,3.8,,,2.518708333,,,,,,,,,,,16.89177752,51.98142242
2011,3.40674594,46842.0,,,,,,7.400000095,0.626,,75.37339354,78.16029145,9.271042537,,18.6076171,78.74468306,7.5,29332.0,81.2968,8.823561668,,1.8,,80.6,3.885087637,2.663993597,,6.184611632,,1.780458467,,,11.41119441,9.6951551,18.5176109,,68.8,7.5,5.432279198,,,,93.33741692,,,,,,,,,3.8,,,2.584193854,,,,,,,,,,67.37,16.6952908,50.56842041
2012,2.94951275,46879.0,287.5457,282.22661,2.5592533,4.7812814,94.43531491,7.099999905,0.0,,75.58505065,76.64374102,8.913380232,,18.72607453,78.45413988,6.5,29185.0,84.9687,8.2504116,46.03586263,1.4,,80.7,3.697117185,2.449816942,,7.155262258,,1.681296059,,,9.962186489,10.046256,20.06474284,31.79592951,67.1,6.8,4.721114509,518.7503353,524.0216698,545.4419411,91.86493832,,,,,,,,,3.7,1.551928878,1.587197661,2.543788992,,,,,,,,,,,15.82449973,50.10258484
2013,2.58367341,46411.0,,,,,,6.900000095,0.0,36.78,75.03506311,81.05133337,9.072252229,,20.17843271,78.19863782,7.1,29058.0,87.9929,8.998449892,,1.5,,81.1,3.583569414,2.557873011,2.388411388,5.847512485,8.045855989,1.756134051,,124318.0,9.028897058,10.369868,16.24465234,,64.6,6.7,4.75429333,,,,93.04346769,,,,3.873798189,8.305610007,12.8983877,7.666760405,,3.8,,,2.554573076,,,,,,45.49411,1.57864058,1.543478521,2.085318798,,16.53577685,49.20943451
2014,2.27169767,46395.0,,,,,,7.400000095,0.0,,74.82394366,81.07847821,8.449074074,,19.60907945,77.66210954,6.8,28808.0,88.916,9.261821955,,1.4,,81.3,3.601755593,2.111142397,,4.778610707,,2.014304491,,,8.14143395,10.822654,16.94550157,,69.2,6.4,4.200855947,,,,94.81004142,,,,,,,,4.8,3.7,,,2.567885217,,,,,,,,,,,18.6175257,45.27604294
2015,2.878498286,46759.0,,,,,,7.0,0.0,,74.71751412,85.77168718,7.7681758,,18.05598132,77.2793623,6.3,29038.0,89.524,8.761960268,,,16.33813286,81.6,3.714024902,2.53882432,,5.188494104,,2.384549148,,,7.713647349,12.183934,12.48835894,,69.8,5.8,4.934433261,511.076853,526.4247471,530.6611589,94.20899127,,,,,,,,,3.7,,,2.561647449,,,,,,,,,,66.85,20.66111118,
2016,2.336972579,47169.0,,,,,,6.900000095,0.0,41.4,75.08041337,81.85887046,7.075868109,,16.47225837,76.94259178,5.8,29500.0,91.21,8.950790763,,1.1,,81.5,3.908492892,2.244554281,,4.580234153,,2.376731946,,121064.0,6.298279183,11.147541,15.75286087,,70.2,6.0,4.701759041,,,,94.86136606,,,,,,,,,3.7,,,2.502856719,,,,,,46.774738,,,,,19.57471669,43.66773605
2017,2.094685473,46899.0,,,,,,6.699999809,0.0,,75.91103369,87.60158439,7.553085666,,17.71792064,76.72467561,6.3,29722.0,93.4095,8.064499497,,1.1,,81.7,3.807133065,,,3.604582174,,2.182289776,,,8.776569175,11.074919,11.71935895,,70.1,5.6,4.324574193,,,,96.04221738,,,,,,,,,3.8,,,2.571306162,,,,,,,,,,,19.45315301,42.23371124
2018,1.852023415,47245.0,,,,,93.88114737,6.099999905,0.0,,78.04647949,87.57382145,7.316962611,,18.85520372,76.83053063,6.5,30218.0,92.9988,8.850260079,,1.2,,81.8,3.898492307,,1.942466013,3.773152166,8.122617853,1.700103134,,,7.917071517,9.666667,11.34208349,,68.8,5.7,4.335105466,507.3013618,520.0787482,521.884563,95.92708635,7.014526913,7.014526913,7.014526913,4.236077957,8.415681746,11.65448443,7.777406777,,3.9,,,2.576271186,1.533361554,,1.662730813,,1.635546684,,1.544201546,1.543435158,2.062172127,,20.55644542,44.16941452
2019,1.540036127,47731.0,,,,,,6.400000095,0.0,,78.93529297,84.28785045,8.627155717,,17.15982964,76.92646235,6.4,30814.0,93.0666,8.930485696,,1.2,,82.1,3.898864735,,,6.23241267,,1.254767046,,,8.472793803,8.8926172,13.60454174,,68.3,5.6,3.823905353,,,,93.35159882,,,,,,,,6.5,3.9,,,2.561416133,,,,,,,,,,68.73,19.88317817,
2020,1.202545967,47878.0,,,,,,6.800000191,,,78.55723243,87.54782425,,,15.97860496,76.64647078,5.7,30858.0,94.8272,9.289482981,,,,82.0,3.610919956,,,3.828448889,,1.254211669,,,8.949515826,9.6774197,10.65272488,,69.8,5.6,4.03598579,,,,95.924624,,,,,,,,,3.7,,,2.546099784,,,,,,,,,,,19.1099301,
2021,,49708.0,,,,,,5.900000095,,,78.71968225,85.22608899,,,,76.71809866,6.7,31253.0,95.4751,,,,,82.0,3.180643635,,2.514689788,2.97107202,7.9,1.876207867,,,8.471073038,10.304054,13.81194435,,,,4.029785718,,,,97.02892798,,,,,,,,,3.9,,,,,,,,,,1.562334657,,,,,
2022,,,,,,,,,,,,87.57673727,,,,,,,,,,,,,,,,2.555552429,,,,,,,11.82712471,,,,3.406485046,,,,97.25182587,,,,,,,,,,,,,,,,,,,,,,,,
