year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LMIS,LS score less than 5,LSS,LS,LTUR,MNW,NAB,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,Top LS scores quintile,VT,hco,SADdeaths
2004,,33484.0,,,,,,,71.30123124,,24.20184099,,39.62354825,82.82166201,,16884.0,,,,1.9,,77.8,,,,,0.042623298,,,,,,,13.6495986,,,,,,,,,,,4.947898405,,,,,,,,,44.49104309
2005,,34516.0,,,,,99.432,,71.22353674,,25.37052857,,39.61663236,82.67422389,,17239.0,92.73207761,,,1.9,38.68777084,78.2,,,,,0.031794695,,,,,43.9,19.1,13.20246822,,,,,,,,,,,5.039017824,,,,,,,,,43.6275444
2006,,34961.0,,,,,,,71.7350505,63.94126712,24.93583219,,39.77414431,82.81307299,,17797.0,93.99318525,,,1.7,,78.8,,,21.75447505,,0.039713157,,19.50016123,31.32796464,,,,13.0461678,547.4584788,556.0219103,522.1481413,75.14694518,,,,,,,5.124803529,,,,,,,,,37.71554565
2007,,35717.0,,,,,,,72.01326425,57.22202832,26.04213173,,38.16206428,83.30655716,,18541.0,94.13277834,,,1.5,,79.2,2.741986513,,16.99220782,,0.019436072,,14.99813009,39.50695417,,,,12.66544624,,,,81.06557429,,,,,,,4.990044248,,,,,,,63.01,,38.37677002
2008,,35611.0,,,,,,,72.11230194,58.65980788,25.47083656,,39.03744173,83.68877653,,18801.0,94.27491965,,,1.4,,79.6,2.719196081,,24.22800789,,0.014551509,,16.72110161,38.55057942,,43.7,21.1,11.96623166,,,,74.10387023,,,,,,,4.930020812,,,,,,,,,38.10508728
2009,,35795.0,,,,,,,71.16498945,59.57256309,24.99135557,,38.6146827,84.04901359,,19012.0,95.90486133,,,1.4,,80.0,2.994805098,,18.51924234,,0.019585802,,12.25256423,36.87280643,,44.8,20.2,11.83990333,546.2285342,539.2674839,537.9862301,79.41576558,,,,,,,4.720333,,14.7,,5.25,,,,,42.14825439
2010,11.00007966,36358.0,,,,,99.445,,71.58115441,58.46641476,24.70947978,,39.60585734,84.07382019,,19711.0,96.83910415,11.68144345,,1.2,,80.2,3.073423386,,18.0468212,,0.011908355,,8.920863386,38.28423189,,37.6,18.2,11.109068,,,,79.7767455,,,,,,,4.765803519,,,,,,,,,41.68818665
2011,,36835.0,,,,,99.445,,72.21467355,54.48197258,23.79823821,,36.5642295,84.126147,18.6,20001.0,97.23167946,,,1.1,,80.6,2.801855326,,18.66503186,,0.013713701,,14.56245963,41.26827287,,36.8,15.8,10.47126961,,,,79.11108149,,,,8.3,,,4.795158287,,,,,,,,,40.80780411
2012,6.059554592,36293.0,272.56276,263.38618,1.67296,7.7175109,99.445,,72.55738515,66.82560196,23.90963291,,36.29852997,84.07317533,18.3,20390.0,97.34970774,,36.8780779,1.1,,80.9,2.626310587,,22.22815523,,0.009945446,,14.27420241,30.50457678,38.99178066,33.3,16.7,10.74106731,553.7666587,535.7904901,537.7876229,76.73843446,,,,8.1,1.475142837,1.562266946,4.626663709,,,,,,,75.84,8.849875629,36.17837906
2013,,37209.0,,,,,99.445,,72.95888421,57.45794037,24.65604743,,36.59963437,84.14429405,18.4,21120.0,98.14339821,,,1.1,,81.4,2.619307518,20.3,20.07888,5.7,0.012743484,157998.0,12.18172537,37.01092816,,35.1,16.1,10.09738604,,,,78.68305636,,,,7.7,,,4.703030303,,,,,,2.931034483,,,35.45258713
2014,5.344366282,37287.0,,,,,99.445,,73.70813409,60.82909771,23.7,21.91845322,36.65317614,84.35981245,18.2,21735.0,98.48694292,5.75216189,,1.0,,81.8,2.990792036,19.3,25.72350008,5.7,0.008082759,,18.30808707,36.29326472,,32.5,15.9,9.383868995,,,,72.36574065,,,,7.4,,,4.787368552,,14.83003379,,4.925190647,,2.59375,,,32.95737839
2015,,38323.0,,,,,99.445,4.3,73.81622778,67.66405206,23.5,,37.17628175,85.05752503,17.5,22855.0,98.78346936,,,1.0,,82.1,3.058129787,17.4,22.85339647,5.8,0.013623242,173884.0,18.77347972,29.28809225,,32.5,17.6,9.058129571,524.1062163,517.4367097,515.8099115,75.80171883,,,,6.9,,,4.5886,,,,,,2.575757576,,,32.05421066
2016,3.450698033,39447.0,,,,,99.445,,73.8588669,63.30002292,23.5,,36.66666667,84.99637466,17.6,23155.0,99.1944483,,,0.9,,82.4,2.948165417,15.8,18.53971842,5.9,0.035365704,,16.03983217,32.36925538,,32.5,17.8,8.379898685,,,,79.63896134,,,,7.0,,,4.501911975,,,,,,2.4,,,30.71665764
2017,3.016883694,40374.0,,,,,99.445,,74.22016634,68.81232961,22.3,,34.61738256,85.0424728,17.3,23510.0,99.50465037,7.746415585,,0.8,,82.7,,12.3,19.05986444,6.0,0.049296319,,18.61871165,29.06032931,,29.5,17.0,8.148061313,,,,79.66008885,,,,7.0,,,4.302380714,,,,,,2.184210526,77.2,,28.74649811
2018,2.122857235,41765.0,,,,,99.445,,74.05265882,72.88539552,19.04356862,,34.10731095,85.14631053,16.7,24201.0,99.47817968,6.431946903,,0.8,,82.7,,12.2,20.00006208,6.1,0.053510568,,15.38231879,24.75808485,,32.0,17.2,7.326577574,525.933002,514.0522882,519.0072549,78.87496229,7.547079159,7.547079159,7.547079159,6.5,,,3.925527708,1.656312466,,1.695477366,,1.655007482,2.210526316,,,30.26396942
2019,1.043954398,43200.0,,,,,99.445,20.2834934,73.97226121,74.82787217,16.96204324,,32.48044472,85.37469759,16.3,24898.0,99.68928795,5.221641064,,0.8,,83.3,,,21.56030668,,0.034919285,202016.0,17.18403464,22.36116053,,33.7,15.2,6.476616552,,,,77.86964348,,,,6.3,,,3.628298499,,,,,,,,,29.65307999
2020,0.660712132,43342.0,,,,,,,72.78032055,82.01528055,15.96146924,,31.48475223,85.41691638,15.3,25596.0,99.74851416,4.703303799,,0.7,,83.5,,,19.00600014,,0.024500868,,16.62154774,15.49414635,,31.5,17.3,5.950107279,,,,79.9589831,,,,5.8,,,3.597453889,,,,,,,,,
2021,,42747.0,,,,,,,72.99580348,82.31318394,15.63202257,,31.06483944,85.67404232,,,99.93245023,,,,,,,,18.79767727,,0.044581254,,14.61223245,14.95394014,,,,5.635340589,,,,80.52469829,,,,,,,3.607471576,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.297500972,,,,,,,,,,,,,,,,,,77.08,,
