year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,Difficulty making ends meet,EAP,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LSS,LS,LTUR,LUWH,NAB,NEET,Not FSAN,Not HSG,PH+,PH,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,Satisfaction with personal relationships,Self-reported depression,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,VT,hco,SADdeaths
2004,,,,,,,,,49.46360521,,,,,,,,,,,,72.7,49.41077441,,,,4.362796452,,,41.400513,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,99.86,49.59945139,,,,,,,1.7322,,,,57.21058655,73.1,48.85876694,,,,4.299422434,,,42.498238,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,21840.0,,,,,59.20000076,,49.63547995,48.49657353,0.524875622,,3.206997085,,,,,,,,73.4,49.59680771,,17.84730215,,3.734272771,,,41.445206,49.76690282,,63.4,14.7,423.9411903,447.1411325,423.8327452,81.26934073,,,,,,,,,4.102040816,,,,8.46,,,,
2007,,22591.0,,,,,61.59999847,,49.55376998,52.85678161,,,,,,16.5457,,,,,73.7,47.35960434,9.615610123,20.57089963,,3.186656743,,23.85887235,39.967896,46.40663337,,66.8,13.6,,,,78.45755182,,,,,,,,,,,,,,,,,
2008,,22468.0,,,,,58.20000076,,49.76212578,54.02487745,,,,,,22.0251,,,,,73.9,46.17763005,12.59307671,35.21930795,,3.013453461,,20.94857946,41.192337,40.04417794,,67.9,11.9,,,,63.95469676,,,,,,,,,,,,,,,,,
2009,,22723.0,,,,,60.79999924,,49.26981426,41.8843988,,,,78.00574332,,26.2321,,,1.8,,74.1,45.32853003,14.98735714,24.47969922,,3.622788624,,24.05204444,36.660599,56.68866196,,65.1,13.6,445.4513401,464.1943753,453.9097181,75.29307441,,,,,,,,,,,,,,,,,5.575537205
2010,0.0,23292.0,,,,,,99.871,51.51582516,58.0172725,0.69348659,,3.10421286,78.19364436,,33.6884,,,1.5,59.37656403,74.3,45.61505486,11.26234436,20.33950685,,3.467018529,,24.01465639,33.794964,39.45428329,,66.0,13.7,,,,78.83187079,,,,,,,,,3.797900262,,,,,,,24.30815548,6.043192387
2011,23.41398746,23667.0,,,,,56.70000076,99.871,53.5497507,51.04739082,,,,78.68902918,18.6,,31.5100193,,1.2,,74.6,46.13109244,9.129508972,30.63574268,,2.649391087,,26.84295964,31.60216,48.42849145,,67.2,12.7,,,,68.7992087,,,,,,8.0,,,,,,,,,,21.66814655,5.579130173
2012,25.18787384,24618.0,,,,,58.09999847,99.871,54.2155309,55.49602782,,,,78.78879076,17.7,43.1753,30.48994541,,1.3,,74.6,43.28702222,8.967528343,25.65308957,,2.344121441,,23.65957351,,42.30375951,,68.6,12.1,447.9844151,475.4914663,463.4129098,72.74039092,,,,,,7.7,,,,,,,,,,20.19187212,6.299314022
2013,23.80319834,25749.0,,,,,56.5,99.871,54.69085639,62.21161522,,,,79.44628787,17.1,46.4683,30.29306829,,1.7,,78.0,40.85127202,10.02525234,20.23713751,5.7,2.420554355,,26.263387,28.406239,35.35638815,,67.8,11.7,,,,78.69835208,,,,7.4,,7.5,,,,,,,,,,17.84002185,7.021970272
2014,21.49681747,26631.0,226.54404,219.43004,6.7227134,11.189335,43.70000076,99.871,54.33586386,60.32852971,0.774122807,9.676695824,6.882591093,80.0962301,17.3,57.2349,29.66928184,22.18372564,1.6,,78.0,39.32262774,11.4835968,13.63415854,,2.083966335,7.5,31.66688626,28.116983,37.53563595,47.99836776,68.1,11.8,,,,86.09511026,,,,,6.8,7.7,1.668869138,1.983121395,3.528205128,,14.608507,,8.1722823,,74.13,16.81395769,6.895040989
2015,19.3750456,27308.0,,,,,45.09999847,99.871,54.93074583,60.40552669,,,,80.43060107,17.2,67.7782,28.66792977,,1.4,42.93608856,78.0,36.84860044,11.55994511,14.61119226,,2.22319183,,32.9145866,25.380005,37.36792346,,66.4,12.0,420.4539795,428.3350926,425.4895089,83.59854947,,,,,,7.8,,,,,,,,,,17.6663354,6.643546581
2016,15.7883212,30653.0,,,,,33.09999847,99.871,55.4969805,61.04353219,,,,80.99942404,,73.0548,27.43134201,,1.8,,78.0,33.80120777,12.97180843,11.89445485,,2.287760665,,33.18905457,25.077641,35.19679514,,69.4,9.3,,,,87.22156306,,,,,,,,,,,,,,,,15.81805497,7.41195631
2017,14.91522044,30076.0,,,,,16.20000076,99.871,56.47896879,57.87302125,,,,81.06187954,14.4,78.3229,26.83210969,,,,78.1,32.6405739,,12.16255572,,2.438119523,,22.30816347,23.646242,39.07795849,,68.8,9.4,,,,86.29401985,,,,,,7.7,,,,,,,,,,16.65115654,
2018,14.64749128,30611.0,,,,,13.60000038,99.871,56.74739658,56.844243,0.964244521,,9.980806142,,14.4,82.4887,25.54314733,,,,78.3,29.81881462,,15.1826211,5.7,2.505422415,,28.66224626,22.921755,40.74153416,,67.6,9.9,453.5077774,465.6316657,468.299618,84.06790542,17.10528935,17.10528935,17.10528935,,,7.5,,,3.363380282,1.665779114,,1.655621529,,1.60274303,86.24,16.35767221,
2019,12.03688607,32625.0,,,,,,99.871,54.9909384,63.13175821,,,,,15.0,87.9055,24.38318282,,1.0,,78.6,27.62945615,,20.6671755,,3.292800368,,31.31227813,24.947416,34.8131683,,66.9,10.4,,,,78.53028735,,,,,6.6,8.2,,,,,,,,,,14.19994533,8.648065567
2020,10.4377605,32483.0,,,,,22.0,,52.50817505,58.66444117,,,,,,89.8608,23.84287268,,,,,25.04674894,,14.16758115,,3.362305617,,39.87194605,,38.56015088,,69.4,8.5,,,,84.71986876,,,,,,,,,,,,,,,,14.93886113,
2021,,,,,,,,,55.14948643,54.66901693,,,,,,91.9526,,,,,,27.46958033,,26.35704642,,3.810470049,,43.362765,24.701513,43.67180313,,,,,,,73.55401461,,,,,,,,,,,,,,,,,
