year, PHWABSF,AAGE,ALS,ANS,AWLLS,AWLNS,EAP,ELFA,ER,FSAN,FTUELT,GGWH,GWG,HA,HDBRIP,HDI,HIAH,HO,HSG,H,JS,LE,LHWPW,LMIS,LSS,LTUR,LUWH,MNW,NAB,NEET,Not FSAN,Not HSG,PH+,PH,RD,SMS,SRS,SSS,SS,SWLMS,SWLRS,SWLSS,TAHDIQ,TALS,TANS,TEFTED,TMSD,TO,TRSD,TSISI,TSSD,TWHSD,VT,hco,SADdeaths
2004,,60127.0,,,,,,,75.36450709,,23.85157963,,19.63534362,80.99570474,,39658.0,,,,5.7,,77.6,11.46471026,,,0.709128804,,,,13.121114,,,88.2,2.9,14.62951671,,,,,,,,,,,4.786885246,,,,,,,88.5,,22.21278763
2005,,60184.0,,,,,67.648,,75.71854348,,23.96438848,,18.97506925,80.49299528,,39773.0,,,,5.9,28.07831001,77.6,11.61687212,,,0.604259773,,,,13.434798,,,88.4,2.8,14.72336923,,,,,,,,,,,4.858064516,,,,,,,,,22.46815872
2006,,61085.0,,,,,,,76.19465119,76.10990829,24.22200441,,19.24629879,80.76646496,,40777.0,,,,5.9,,77.8,11.89266793,,3.507277434,0.469343942,,,13.89818982,12.458967,22.72534391,,88.2,2.7,14.313296,474.3521577,,488.9068373,95.48943679,,,,,,,4.843260188,,,,,,,,,23.19897652
2007,,62242.0,,,,,,,76.1909878,74.18870233,24.53512204,,19.84334204,80.7944817,,41253.0,51.12,,,5.9,,78.1,11.56683911,3.728052616,,0.465176241,,,10.84567579,12.11044,24.36177058,,87.9,3.0,13.69678806,,,,,,,,,,,4.854545455,,,,,,,,,23.48801041
2008,,62089.0,,,,,,,75.51746239,78.15917845,24.51358219,,20.05012531,80.78023201,,41467.0,,,,5.7,,78.2,11.22992585,4.84384203,4.714964506,0.622516713,,,9.441471548,12.778655,21.4014124,,87.8,3.0,12.30639348,,,,94.73013825,,,,,,,4.893063584,,,,,,,70.33,,23.58275986
2009,,62711.0,,,,,,,72.4947733,75.05043675,24.84248064,,19.78021978,80.8671292,,41229.0,63.95,,,5.3,,78.5,10.65920908,6.451185703,8.78267832,1.524452929,,,12.95409561,14.538002,23.45961825,,87.9,3.0,11.04502758,487.3965205,499.8268211,502.0022645,90.78715168,,,,,,,4.982857143,,,,,,,,,23.68254662
2010,0.754168164,63265.0,,,,,35.742,,71.79560359,76.70324021,25.29112118,,18.81067961,81.12599966,,41685.0,68.24,3.733743727,,5.1,,78.7,10.76264284,6.621606827,7.361683401,2.831225302,,73278.0,11.08210648,15.606447,22.37546663,,87.6,3.0,10.66818255,,,,92.33439301,,,,,,,5.011331445,,14.502375,,5.559,,76.609879,,32.29759932,23.91410446
2011,0.761175947,63349.0,,,,,37.154,,71.65351409,74.72052045,25.14782297,,17.78846154,81.52557718,,42137.0,69.43,3.757856786,,5.1,,78.7,11.02523319,6.564193249,7.809359357,2.8398163,,,14.36464853,14.841232,23.93858785,,87.3,2.9,10.4247419,,,,91.93340412,,,,,,,5.033519553,,,,,,,,32.8993082,24.67663956
2012,0.455358578,63890.0,271.72277,257.20478,1.6938246,11.253257,25.469,,72.18092269,74.06509162,25.29100323,,19.08665105,82.07022694,,43118.0,73.43,3.685910627,41.64608024,5.2,,78.8,11.33766753,6.351102352,9.668369238,2.391667441,,,12.7455408,13.99472,24.99864755,38.49470769,87.5,2.9,10.76439264,481.3667863,497.581718,497.4098124,90.20349296,,,,,1.619382739,1.776074052,5.222841226,,,,,,,66.66,31.72139823,25.3691082
2013,0.463347277,63588.0,,,,,21.474,,72.31913943,74.86162082,25.0462772,,17.90697674,81.57197836,17.2,42320.0,73.2,3.771368414,,5.0,,78.8,11.20194655,5.918185711,7.437572991,1.940012426,,70895.0,12.82893355,14.935878,23.418196,,87.5,2.9,10.40938425,,,,92.25759962,,,,8.6,,,5.083333333,,,,,,78.192551,,30.92246354,26.36953354
2014,0.485648122,64513.0,,,,,16.547,,72.98310759,72.58171164,24.92748181,,17.45120551,81.86118772,17.5,43469.0,,3.783356398,,4.9,,78.9,11.58756137,5.365456104,9.782464584,1.439979594,,,12.96455007,14.171073,26.3604535,,88.1,2.8,10.28711791,,,,90.13756194,,,,8.7,,,5.007915567,,,,,,,,30.4887712,27.44290161
2015,0.478699151,66140.0,,,,,12.306,,73.39154994,73.87092712,25.02085606,,18.88268156,82.07759804,16.8,44744.0,73.05,4.202366248,,5.4,25.81718063,78.7,11.43316628,4.632852077,9.613007007,1.001077852,,,13.90658262,13.606999,25.25374431,,88.1,2.7,11.06678371,469.6284918,496.9350973,496.2424342,90.07707023,,,,8.3,,,5.044155844,,,,,,,,29.38689888,28.8392067
2016,0.0,66260.0,,,,,3.665,36.5,73.93951002,75.77157009,24.90773247,,18.1420765,82.02061067,17.8,45276.0,,4.244195297,,5.9,,78.7,11.2269429,4.245723724,10.31380003,0.841101892,,82447.0,13.9391393,12.907653,23.02105561,,88.0,2.5,11.70204433,,,,89.5789767,,,,8.5,,,5.047858942,,,,,,79.471603,65.44,28.80522609,31.27225685
2017,0.0,66934.0,270.87962,254.9477,,,6.754,,74.61586255,71.91852104,24.50318263,,18.17215728,82.13353479,17.8,46068.0,77.11,4.186069593,39.71697551,5.9,,78.6,11.01516581,,7.896432749,0.665581608,,,13.42391028,11.643765,27.78209835,36.22837123,87.9,2.6,11.52582269,,,,92.06203848,,,,8.4,,,5.065693431,,,,5.1482501,,,,28.04252803,33.28404999
2018,0.0,67664.0,,,1.5006656,11.566718,6.854,,75.29821604,72.38156757,24.065,25.37080002,18.91058582,82.19157794,18.1,47188.0,,4.188987985,,5.7,,78.7,11.14618296,,9.610864107,0.525650433,13.25611,,13.45945254,11.47875,26.40075112,,87.9,2.6,11.27010249,478.2447174,505.3527705,502.3800319,90.35240111,12.64532514,12.64532514,12.64532514,8.4,1.637820005,1.816079259,4.951162791,1.675221562,14.571041,1.782105446,5.063826,1.697824717,,,28.11911106,33.48869324
2019,0.0,68842.0,,,,,5.613,51.49999857,75.87719038,74.53301651,23.37988162,,18.47070507,82.34747811,18.0,48549.0,79.17,4.236565158,,5.8,,78.8,11.0181695,,8.317186755,0.47195627,13.25455,97400.0,12.06505747,11.577101,25.36897165,,,3.3,11.07270283,,,,91.51838545,,,,8.4,,,5.0,,14.570587,,,,79.061813,,26.83532238,33.9610405
2020,0.0,72807.0,,,,,,,71.79540524,78.07260424,23.81,,17.65249538,82.77126528,16.6,51471.0,,4.200647026,,7.4,,77.0,10.40222229,,6.249655922,0.455178597,,,13.80725472,11.586435,21.30240304,,,,11.78326884,,,,93.53696898,,,,7.6,,,4.843621399,,,,,,,70.75,26.55737996,37.22231674
2021,,74738.0,,,,,,,73.68001238,73.3468759,22.69,,16.86417502,82.7502618,15.1,52400.0,83.36,,,,,,10.28637654,,7.995494543,1.252648062,,,15.24157958,14.092608,26.28711877,,,,12.93034311,,,,91.95908359,,,,7.1,,,4.797619048,,,,,,,,,
2022,,,,,,,,,,72.76732567,,,,,,,,,,,,,,,9.955176059,,,,,,26.52902263,,,,12.84026334,,,,89.85790683,,,,,,,,,,,,,,,,
